stock_code,stock_name,date,open,close,high,low,volume,amount
600540,新赛股份,2026-06-15,4.43,4.34,4.56,4.29,31067006,0
600540,新赛股份,2026-06-16,4.31,4.3,4.35,4.21,21722529,0
600540,新赛股份,2026-06-17,4.34,4.24,4.37,4.2,19123667,0
600962,国投中鲁,2026-05-07,21.94,22.66,23.3,21.94,6516900,0
600962,国投中鲁,2026-05-08,22.55,23.32,23.6,22.45,6198500,0
600962,国投中鲁,2026-05-11,23.33,24.17,24.68,23.31,7487806,0
600962,国投中鲁,2026-05-12,24.0,24.45,24.5,23.83,5778730,0
600962,国投中鲁,2026-05-13,24.5,24.61,25.88,24.12,11962860,0
600962,国投中鲁,2026-05-14,24.88,23.94,25.19,23.9,10327060,0
600962,国投中鲁,2026-05-15,23.92,24.63,25.18,23.8,9990500,0
600962,国投中鲁,2026-05-18,24.64,25.44,25.5,24.64,8522313,0
600962,国投中鲁,2026-05-19,25.44,25.14,25.78,24.79,6058874,0
600962,国投中鲁,2026-05-20,24.93,27.65,27.65,24.93,10108711,0
600962,国投中鲁,2026-05-21,27.92,25.84,28.97,25.55,19378005,0
600962,国投中鲁,2026-05-22,25.84,26.36,26.63,25.0,11680401,0
600962,国投中鲁,2026-05-25,26.2,26.74,27.05,26.0,8875401,0
600962,国投中鲁,2026-05-26,26.39,25.68,26.7,25.14,9595701,0
600962,国投中鲁,2026-05-27,25.81,25.29,26.47,24.81,9168800,0
600962,国投中鲁,2026-05-28,24.8,25.68,25.84,24.8,5017700,0
600962,国投中鲁,2026-05-29,25.62,25.18,25.99,24.9,5234700,0
600962,国投中鲁,2026-06-01,25.25,25.66,26.49,25.23,6572200,0
600962,国投中鲁,2026-06-02,25.6,24.94,25.79,24.5,6561700,0
600962,国投中鲁,2026-06-03,24.94,24.65,25.42,24.5,4781500,0
600962,国投中鲁,2026-06-04,24.83,24.19,24.83,24.08,4450100,0
600962,国投中鲁,2026-06-05,24.4,24.2,24.48,23.5,4185076,0
600962,国投中鲁,2026-06-08,23.49,23.41,23.82,22.95,4811900,0
600962,国投中鲁,2026-06-09,23.6,24.69,24.78,23.31,5523400,0
600962,国投中鲁,2026-06-10,24.5,24.73,24.97,24.2,3908400,0
600962,国投中鲁,2026-06-11,24.44,23.83,24.88,23.52,3956800,0
600962,国投中鲁,2026-06-12,24.15,26.21,26.21,24.15,5793786,0
600962,国投中鲁,2026-06-15,26.72,25.66,26.72,24.93,10977294,0
600962,国投中鲁,2026-06-16,25.68,24.91,25.86,24.71,7780321,0
600962,国投中鲁,2026-06-17,24.16,25.51,26.5,23.98,9161920,0
